RST-Relation,Group-1,Group-0
Joint,0.3414130995358432,0.3201253541684554
Elaboration,0.17723912669761044,0.17596806044474972
Contrast,0.1158672855423758,0.13166480638791106
Cause-effect,0.07804710331786144,0.06980338284536791
Interpretation-evaluation,0.0579336427711879,0.05430582982742337
Condition,0.04951005673027334,0.06379325148106808
Sequence,0.04916623689186866,0.014767751352279557
Attribution,0.031115695375623174,0.03460118485446896
Preparation,0.029052776345195118,0.029793079763029105
Purpose,0.01633144232422211,0.023310723791534302
same-unit,0.01529998280900808,0.018073323602644457
Solutionhood,0.010486505071342616,0.02532841074954924
Comparison,0.009970775313735603,0.013823302137889586
Concession,0.009283135636926251,0.009787928221859706
Evidence,0.007220216606498195,0.010775306945994677
Restatement,0.0013752793536187038,0.0038636558770498842
Background,0.0006876396768093519,0.00021464754872499355
